Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
88,0,0.011716,0.003833,0.000697,-54.942898,96.309364,15.634007,-0.000559,0.000415,0.002775,-0.635564,-0.822253,0.698138,0.019936,-1.328241,-0.034381,7.464653,99.583405,78.550385
89,0,0.011751,0.003803,0.000613,-54.942001,96.313377,15.639452,-0.000596,0.000368,0.002795,-0.642514,-0.830671,0.683807,0.019920,-1.328251,-0.034357,7.464787,99.582436,78.556648
90,0,0.011761,0.003826,0.000704,-54.941975,96.315620,15.642449,0.000561,0.001079,0.002406,-0.628445,-0.711773,1.012918,0.019948,-1.328284,-0.034390,7.464871,99.585083,78.559837
91,0,0.011739,0.003829,0.000673,-54.944611,96.317329,15.646759,-0.000634,0.000393,0.002801,-0.644583,-0.829185,0.691602,0.016387,-1.328534,-0.036378,7.625053,99.575699,78.459633
92,0,0.011575,0.003823,0.000669,-54.942696,96.312363,15.645325,0.000591,0.001060,0.002392,-0.630809,-0.712396,1.017615,0.019976,-1.328397,-0.034454,7.466596,99.586174,78.558762
93,0,0.011743,0.003881,0.000626,-54.945061,96.311386,15.645567,0.000627,0.001058,0.002422,-0.634750,-0.719497,1.024632,0.019886,-1.328393,-0.034420,7.466123,99.586426,78.561867
94,0,0.011784,0.003882,0.000654,-54.946091,96.313293,15.642822,0.000713,0.001002,0.002414,-0.632265,-0.719346,1.024781,0.020077,-1.328359,-0.034307,7.466813,99.585464,78.560326
95,0,0.011748,0.003876,0.000681,-54.941944,96.313942,15.646323,-0.000536,0.000331,0.002799,-0.644852,-0.827882,0.694503,0.020010,-1.328312,-0.034416,7.467716,99.586151,78.561760
96,0,0.011680,0.003830,0.000667,-54.943005,96.313469,15.642444,-0.000590,0.000395,0.002798,-0.646324,-0.829220,0.696411,0.019920,-1.328241,-0.034395,7.467598,99.585320,78.556213
97,0,0.011688,0.003858,0.000626,-54.941101,96.313385,15.636265,-0.000626,0.000395,0.002790,-0.637867,-0.826174,0.684523,0.020016,-1.328233,-0.034346,7.465015,99.584213,78.548363
98,0,0.011642,0.003813,0.000634,-54.943237,96.316750,15.629608,0.000603,0.001025,0.002415,-0.628672,-0.716192,0.994483,0.020016,-1.328264,-0.034333,7.462777,99.585533,78.539902
99,0,0.011785,0.003851,0.000644,-54.943462,96.315628,15.620371,-0.000679,0.000462,0.002809,-0.642526,-0.828019,0.678547,0.020028,-1.328308,-0.034434,7.463468,99.586014,78.541794
100,0,0.011819,0.003940,0.000746,-54.942604,96.314751,15.619642,-0.000467,0.000326,0.002804,-0.643871,-0.829847,0.680508,0.020083,-1.328301,-0.034364,7.462583,99.590492,78.537079
101,0,0.011663,0.003891,0.000717,-54.942719,96.319450,15.631007,0.000629,0.000986,0.002446,-0.634587,-0.720900,0.993684,0.020101,-1.328253,-0.034309,7.465889,99.589516,78.540817
102,0,0.011787,0.003847,0.000725,-54.939934,96.314590,15.638648,0.000672,0.001027,0.002389,-0.627307,-0.712730,1.017328,0.019965,-1.328343,-0.034437,7.467750,99.585869,78.551453
103,0,0.011754,0.003932,0.000691,-54.941341,96.313004,15.645776,0.000645,0.000994,0.002378,-0.630221,-0.712370,1.014148,0.019853,-1.328364,-0.034433,7.465293,99.580475,78.558258
104,0,0.011799,0.003907,0.000630,-54.940838,96.316528,15.643811,-0.000686,0.000457,0.002785,-0.641004,-0.824665,0.706440,0.020091,-1.328257,-0.034331,7.462193,99.586777,78.564842
105,0,0.011814,0.003801,0.000729,-54.944546,96.318367,15.645512,-0.000645,0.000375,0.002837,-0.650168,-0.833295,0.686420,0.019974,-1.328310,-0.034415,7.465622,99.586456,78.558571
106,0,0.011678,0.003944,0.000657,-54.946663,96.317245,15.640963,0.000441,0.001138,0.002436,-0.636970,-0.717680,1.007528,0.016319,-1.328657,-0.036421,7.627841,99.583107,78.446228
107,0,0.011888,0.003814,0.000704,-54.944824,96.318657,15.639363,-0.000714,0.000455,0.002777,-0.643753,-0.821505,0.690337,0.016157,-1.328557,-0.036457,7.627797,99.579758,78.446968
108,0,0.011694,0.003823,0.000664,-54.945854,96.318321,15.640503,-0.000691,0.000419,0.002800,-0.644046,-0.829210,0.688238,0.019895,-1.328400,-0.034367,7.463286,99.587578,78.553802
109,0,0.011704,0.003836,0.000717,-54.943256,96.313072,15.643118,0.000625,0.001034,0.002413,-0.630760,-0.718451,1.016877,0.020048,-1.328299,-0.034380,7.466467,99.586716,78.554565
110,0,0.011649,0.003948,0.000708,-54.941628,96.313820,15.641214,0.000633,0.000996,0.002402,-0.629205,-0.714521,1.004917,0.020052,-1.328301,-0.034454,7.464096,99.589729,78.555611
