Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
79,0,0.003227,0.006699,0.003424,-54.976341,96.339081,15.558185,0.002236,0.001574,0.002761,-0.707903,-0.745049,1.350690,0.007593,-1.319333,-0.032421,8.121646,100.179688,78.245712
80,0,0.003267,0.006807,0.003414,-54.980640,96.337410,15.548293,0.002162,0.001663,0.002731,-0.707989,-0.739782,1.354459,0.007578,-1.319314,-0.032377,8.111967,100.179497,78.244423
81,0,0.003319,0.006771,0.003416,-54.981968,96.334099,15.538788,0.002227,0.001579,0.002757,-0.715662,-0.750721,1.342078,0.007545,-1.319352,-0.032432,8.114821,100.174744,78.230042
82,0,0.003330,0.006834,0.003407,-54.979939,96.331276,15.535996,0.002136,0.001640,0.002735,-0.710858,-0.744049,1.340806,0.007584,-1.319309,-0.032483,8.110565,100.175995,78.230484
83,0,0.003296,0.006901,0.003416,-54.974354,96.337692,15.542228,0.002114,0.001651,0.002775,-0.703648,-0.744657,1.343255,0.007477,-1.319384,-0.032452,8.119841,100.178787,78.230804
84,0,0.003259,0.006747,0.003385,-54.964252,96.335426,15.548764,0.002152,0.001650,0.002787,-0.701248,-0.750049,1.347327,0.007664,-1.319389,-0.032366,8.125549,100.179993,78.236526
85,0,0.003283,0.006782,0.003417,-54.965416,96.333839,15.545707,0.002047,0.001723,0.002749,-0.697069,-0.739490,1.345590,0.007468,-1.319376,-0.032444,8.129835,100.178101,78.234909
86,0,0.003274,0.006760,0.003441,-54.965050,96.334572,15.534096,0.002141,0.001667,0.002774,-0.702921,-0.748047,1.339019,0.010565,-1.320589,-0.030391,8.293343,100.170387,78.108917
87,0,0.003170,0.006695,0.003352,-54.966949,96.339851,15.521596,0.002081,0.001749,0.002743,-0.700082,-0.741538,1.343313,0.007476,-1.319523,-0.032490,8.134231,100.184273,78.209473
88,0,0.003306,0.006822,0.003422,-54.972168,96.345947,15.527686,0.002178,0.001660,0.002754,-0.704562,-0.738130,1.333032,0.010029,-1.319375,-0.031016,8.037631,100.191658,78.272034
89,0,0.003257,0.006829,0.003375,-54.966358,96.345795,15.532722,0.002094,0.001688,0.002760,-0.705724,-0.741845,1.336775,0.010747,-1.320697,-0.030225,8.291265,100.168739,78.103752
90,0,0.003301,0.006621,0.003448,-54.970474,96.332436,15.549137,0.002069,0.001703,0.002755,-0.706414,-0.741481,1.350978,0.007469,-1.319379,-0.032412,8.124410,100.179291,78.235786
91,0,0.003329,0.006756,0.003421,-54.973797,96.330322,15.562184,0.001826,0.001634,0.001255,-0.518635,-0.393140,1.315652,0.007533,-1.319296,-0.032460,8.117923,100.173897,78.253609
92,0,0.003242,0.006786,0.003435,-54.973789,96.329056,15.565469,0.002992,0.001949,0.001716,-0.537864,-0.529993,1.547623,0.007543,-1.319281,-0.032484,8.118401,100.174469,78.251854
93,0,0.003187,0.006564,0.003383,-54.975075,96.334991,15.554667,0.002125,0.001648,0.002780,-0.707245,-0.749408,1.349061,0.007665,-1.319253,-0.032338,8.113095,100.176727,78.243965
94,0,0.003325,0.006800,0.003423,-54.976101,96.338104,15.550505,0.002158,0.001617,0.002768,-0.711746,-0.746977,1.339071,0.007729,-1.319369,-0.032332,8.113041,100.181519,78.242401
95,0,0.003161,0.006755,0.003374,-54.976646,96.331650,15.540434,0.002154,0.001676,0.002762,-0.708639,-0.745094,1.349302,0.010618,-1.320419,-0.030416,8.273442,100.166527,78.121269
96,0,0.003222,0.006873,0.003358,-54.976582,96.331749,15.546738,0.002186,0.001651,0.002709,-0.701073,-0.737013,1.348183,0.010755,-1.320559,-0.030325,8.279600,100.166130,78.126198
